Time,acc
4.22,0.170259746
4.225,0.082784571
4.23,0.248596417
4.235,0.054063769
4.24,0.113209513
4.245,0.078650366
4.25,-0.050940814
4.255,-0.010512455
4.26,0.045810673
4.265,0.187203704
4.27,-0.000103577
4.275,0.261492691
4.28,0.028706501
4.285,0.328586824
4.29,-0.040761431
4.295,-0.111922696
4.3,-0.003456218
4.305,-0.002753758
4.31,-0.261632059
4.315,0.067824566
4.32,-0.32936853
4.325,0.452735257
4.33,-0.239181143
4.335,-0.019947954
4.34,-0.020695023
4.345,-0.004140946
4.35,-0.194795765
4.355,-0.204398565
4.36,-0.445672014
4.365,0.318481991
4.37,-0.384183042
4.375,0.028304923
4.38,-0.10683581
4.385,0.258709298
4.39,0.037752359
4.395,-0.11297943
4.4,-0.187695953
4.405,0.236187339
4.41,-0.155273714
4.415,-0.115156563
4.42,-0.130425908
4.425,0.339208814
4.43,0.128816319
4.435,0.125234718
4.44,-0.012683149
4.445,0.379970218
4.45,0.216145608
4.455,-0.221023182
4.46,0.01045011
4.465,0.080263407
4.47,0.122864124
4.475,0.029944612
4.48,-0.193408504
4.485,0.427999756
4.49,0.242787687
4.495,-0.139599072
4.5,0.087035664
4.505,-0.128835306
4.51,0.190232315
4.515,-0.265576267
4.52,-0.40729898
4.525,0.162610576
4.53,-0.031707957
4.535,-0.066383383
4.54,-0.102744916
4.545,-0.040716811
4.55,0.233585141
4.555,-0.220727118
4.56,-0.346179013
4.565,-0.04475382
4.57,-0.119889158
4.575,-0.100674967
4.58,-0.310657698
4.585,0.097225872
4.59,0.107281883
4.595,0.181517871
4.6,-0.216833703
4.605,0.167885772
4.61,0.068702028
4.615,-0.013146168
4.62,-0.21246789
4.625,0.066486877
4.63,-0.040201137
4.635,0.404458357
4.64,-0.295184251
4.645,0.480638939
4.65,0.097877572
4.655,0.25669752
4.66,0.009802071
4.665,0.020521362
4.67,-0.026671643
4.675,0.238713728
4.68,-0.420332527
4.685,0.387541576
4.69,-0.191996332
4.695,0.343900417
4.7,-0.031917759
4.705,0.079282663
4.71,0.007712897
4.715,0.054100855
4.72,-0.325735772
4.725,0.04729652
4.73,-0.377156141
4.735,0.055706679
4.74,-0.219870881
4.745,0.070229379
4.75,-0.107526673
4.755,0.091044071
4.76,-0.125155451
4.765,0.007801892
4.77,-0.177038584
4.775,-0.219293001
4.78,-0.1102052
4.785,-0.068867958
4.79,-0.1793357
4.795,0.117980612
4.8,-0.069121505
4.805,0.288658039
4.81,0.075789082
4.815,-0.121132648
4.82,0.247218439
4.825,-0.081163979
4.83,0.010461956
4.835,-0.032771179
4.84,-0.109970662
4.845,0.408093856
4.85,0.01784882
4.855,0.074073467
4.86,0.313905014
4.865,0.135012012
4.87,0.211108796
4.875,-0.140428169
4.88,-0.102297786
4.885,0.243651225
4.89,-0.174329321
4.895,-0.045797867
4.9,-0.049542063
4.905,0.27489948
4.91,0.062518259
4.915,-0.041689863
4.92,-0.159891319
4.925,0.191564523
4.93,-0.174109271
4.935,-0.282666533
4.94,-0.339692942
4.945,0.156847072
4.95,-0.233133002
4.955,0.072081543
4.96,-0.395744293
4.965,0.415261259
4.97,-0.056700805
4.975,-0.174415545
4.98,-0.235467169
4.985,0.071413004
4.99,-0.179836951
4.995,0.051517427
5,-0.563687838
5.005,0.563366328
5.01,-0.048175268
5.015,0.167331742
5.02,-0.062496971
5.025,0.237532853
5.03,0.173210094
5.035,0.054358215
5.04,-0.415097991
5.045,0.397770454
5.05,-0.066399435
5.055,0.218383952
5.06,-0.149175262
5.065,0.336307906
5.07,0.291819703
5.075,0.163320654
5.08,-0.18668477
5.085,0.158843158
5.09,0.053284783
5.095,-0.074290551
5.1,-0.273351011
5.105,0.048258147
5.11,0.055768361
5.115,0.162374378
5.12,-0.23914203
5.125,0.094427247
5.13,0.159794041
5.135,-0.223015174
5.14,-0.1353593
5.145,-0.313038625
5.15,-0.066962494
5.155,-0.02151179
5.16,-0.411806871
5.165,0.100761403
5.17,0.05261633
5.175,-0.022758846
5.18,0.08215849
5.185,-0.251270702
5.19,0.130108532
5.195,-0.072386481
5.2,-0.297770634
5.205,0.06336411
5.21,-0.104477912
5.215,0.173281774
5.22,0.067810467
5.225,0.099919629
5.23,0.231297849
5.235,0.17984098
5.24,-0.012188584
5.245,0.117240463
5.25,-0.079782766
5.255,0.109262092
5.26,-0.073659197
5.265,0.208952241
5.27,-0.046268388
5.275,0.378106341
5.28,-0.043738038
5.285,0.308322319
5.29,-0.037787584
5.295,-0.007528642
5.3,-0.076509149
5.305,0.02063512
5.31,-0.338339884
5.315,0.194554031
5.32,-0.380285513
5.325,0.396305702
5.33,-0.21930898
5.335,0.017641026
5.34,-0.005134073
5.345,-0.028195235
5.35,-0.248520179
5.355,-0.096840732
5.36,-0.469694868
5.365,0.272080604
5.37,-0.388610607
5.375,0.025781824
5.38,-0.04373597
5.385,0.186618746
5.39,0.026632123
5.395,-0.076658897
5.4,-0.148390712
5.405,0.195040605
5.41,-0.168323639
5.415,-0.121118165
5.42,-0.075362045
5.425,0.287522677
5.43,0.112824703
5.435,0.104107865
5.44,0.070767112
5.445,0.322593728
5.45,0.23706204
5.455,-0.249393184
5.46,0.061629554
5.465,0.089102567
5.47,0.072462775
5.475,0.017275687
5.48,-0.140211545
5.485,0.386023625
5.49,0.284013078
5.495,-0.212219208
5.5,0.15157193
5.505,-0.096115587
5.51,0.144940346
5.515,-0.253323635
5.52,-0.413952857
5.525,0.18129375
5.53,-0.015250551
5.535,-0.146851167
5.54,-0.059875228
5.545,-0.02094764
5.55,0.23201739
5.555,-0.229912645
5.56,-0.36843867
5.565,0.006336668
5.57,-0.112254952
5.575,-0.148897799
5.58,-0.326677305
5.585,0.120550747
5.59,0.130165104
5.595,0.13509536
5.6,-0.222220594
5.605,0.176124287
5.61,0.133766062
5.615,-0.057393204
5.62,-0.249819059
5.625,0.099114503
5.63,-0.012117277
5.635,0.363887606
5.64,-0.305068355
5.645,0.425292675
5.65,0.235986598
5.655,0.16873765
5.66,0.018391161
5.665,0.007834961
5.67,0.041514148
5.675,0.222719989
5.68,-0.441982747
5.685,0.305754857
5.69,-0.032616182
5.695,0.231996642
5.7,0.022570857
5.705,-0.021107327
5.71,0.142625708
5.715,0.023371256
5.72,-0.315316714
5.725,-0.053766417
5.73,-0.228074198
5.735,-0.024118266
5.74,-0.169058719
5.745,-0.076736137
5.75,0.04364553
5.755,0.030275871
5.76,-0.059260858
5.765,-0.144473183
5.77,-0.020602507
5.775,-0.266205106
5.78,-0.06764681
5.785,-0.198084783
5.79,-0.081651432
5.795,0.079034823
5.8,0.008718773
5.805,0.098580525
5.81,0.234657783
5.815,-0.176919354
5.82,0.323009511
5.825,-0.192903198
5.83,0.057257655
5.835,-0.015236355
5.84,-0.058243161
5.845,0.248909516
5.85,0.128916648
5.855,0.009055474
5.86,0.42590672
5.865,0.009601647
5.87,0.253646742
5.875,-0.114514332
5.88,-0.043904048
5.885,0.140638693
5.89,-0.125333487
5.895,-0.087970768
5.9,0.056448731
5.905,0.152809226
5.91,0.105333164
5.915,-0.068249992
5.92,-0.050008285
5.925,0.091312986
5.93,-0.127060494
5.935,-0.324037569
5.94,-0.24360217
5.945,0.074446962
5.95,-0.213066498
5.955,0.000119633
5.96,-0.253623145
5.965,0.279077632
5.97,0.041819823
5.975,-0.284719119
5.98,-0.101209478
5.985,0.005497305
5.99,-0.155283801
5.995,-0.035559293
6,-0.43214134
6.005,0.425140944
6.01,0.085779977
6.015,-0.025170672
6.02,0.121245619
6.025,0.13413765
6.03,0.262224019
6.035,-0.065931441
6.04,-0.28638722
6.045,0.289920969
6.05,0.074490818
6.055,0.008739154
6.06,0.02613189
6.065,0.203859002
6.07,0.445056346
6.075,-0.013466076
6.08,-0.035639148
6.085,0.04962509
6.09,0.220668414
6.095,-0.256567709
6.1,-0.150422445
6.105,-0.055969449
6.11,0.210804668
6.115,-0.02460531
6.12,-0.097803169
6.125,-0.048758166
6.13,0.37264348
6.135,-0.399079823
6.14,-0.042431414
6.145,-0.383864738
6.15,0.061779046
6.155,-0.148374387
6.16,-0.335870415
6.165,-0.045010195
6.17,0.271102929
6.175,-0.201765832
6.18,0.17240307
6.185,-0.34438321
6.19,0.266916874
6.195,-0.142182028
6.2,-0.2735661
6.205,-0.05091506
6.21,0.074116976
6.215,0.036385018
6.22,0.138665755
6.225,-0.036904021
6.23,0.393280827
6.235,0.110823993
6.24,0.031403631
6.245,-0.005181231
6.25,0.082245208
6.255,0.033796212
6.26,-0.026817354
6.265,0.064444904
6.27,0.105675378
6.275,0.297522997
6.28,0.049576599
6.285,0.118834221
6.29,0.157506888
6.295,-0.080841194
6.3,0.000639563
6.305,-0.123558282
6.31,-0.214708377
6.315,0.133376179
6.32,-0.264642791
6.325,0.155382272
6.33,-0.002541732
6.335,-0.109118939
6.34,0.149781711
6.345,-0.217030843
6.35,-0.118698485
6.355,-0.149695904
6.36,-0.338622805
6.365,0.039585635
6.37,-0.203005583
6.375,-0.127681255
6.38,0.158680355
6.385,-0.052990203
6.39,0.180139407
6.395,-0.172851544
6.4,0.02919916
6.405,-0.01724512
6.41,-0.019673857
6.415,-0.25289329
6.42,0.115837164
6.425,0.069893003
6.43,0.24540427
6.435,-0.035045959
6.44,0.288293736
6.445,0.107752013
6.45,0.385988322
6.455,-0.375643071
6.46,0.236505
6.465,-0.050579497
6.47,0.146807905
6.475,-0.104090097
6.48,0.05314734
6.485,0.192183772
6.49,0.434094864
6.495,-0.372757624
6.5,0.333226832
6.505,-0.189392727
6.51,0.194832105
6.515,-0.33787712
6.52,-0.28084817
6.525,0.05915372
6.53,0.100927813
6.535,-0.323283057
6.54,0.10820985
6.545,-0.116039902
6.55,0.309200306
6.555,-0.33233428
6.56,-0.258941611
6.565,-0.061108233
6.57,-0.018245436
6.575,-0.299514778
6.58,-0.211193252
6.585,0.03498037
6.59,0.233440216
6.595,-0.016871161
6.6,-0.099041878
6.605,0.085665237
6.61,0.271929827
6.615,-0.201457123
6.62,-0.167944948
6.625,0.040973263
6.63,0.097386053
6.635,0.206140367
6.64,-0.188118164
6.645,0.281541737
6.65,0.446325608
6.655,-0.017583905
6.66,0.123122625
6.665,-0.067961839
6.67,0.179844736
6.675,0.097631984
6.68,-0.355512026
6.685,0.14983336
6.69,0.20323787
6.695,0.021978844
6.7,0.153238045
6.705,-0.164888283
6.71,0.336220048
6.715,-0.094851241
6.72,-0.233632897
6.725,-0.202499017
6.73,-0.010926111
6.735,-0.187366544
6.74,-0.063917801
6.745,-0.257370385
6.75,0.251992199
6.755,-0.099749943
6.76,0.044600677
6.765,-0.32145148
6.77,0.185506231
6.775,-0.364712827
6.78,-0.003311628
6.785,-0.34850135
6.79,0.070263247
6.795,-0.012850922
6.8,0.106905312
6.805,-0.112162034
6.81,0.433349985
6.815,-0.254996443
6.82,0.390008468
6.825,-0.311517691
6.83,0.143142404
6.835,-0.025096365
6.84,0.001125314
6.845,0.063594187
6.85,0.279812722
6.855,-0.063682179
6.86,0.519679112
6.865,-0.121856277
6.87,0.318763262
6.875,-0.087593113
6.88,0.007476954
6.885,0.012838491
6.89,-0.044740137
6.895,-0.125933654
6.9,0.150491028
6.905,0.012494751
6.91,0.164492984
6.915,-0.079013836
6.92,0.04774844
6.925,-0.028405973
6.93,-0.070574231
6.935,-0.340713861
6.94,-0.158604919
6.945,-0.029711583
6.95,-0.184362216
6.955,-0.052014535
6.96,-0.114499767
6.965,0.123751322
6.97,0.127895392
6.975,-0.35135396
6.98,0.013742705
6.985,-0.065953494
6.99,-0.147649316
6.995,-0.091237552
7,-0.29839349
7.005,0.272849196
7.01,0.1911483
7.015,-0.167226141
7.02,0.281202323
7.025,0.048305535
7.03,0.299264096
7.035,-0.133925616
7.04,-0.16900373
7.045,0.193378698
7.05,0.163674715
7.055,-0.145921521
7.06,0.176155583
7.065,0.108557253
7.07,0.522073458
7.075,-0.125100869
7.08,0.083358406
7.085,-0.010361543
7.09,0.303576233
7.095,-0.369752995
7.1,-0.066655021
7.105,-0.098810671
7.11,0.277081126
7.115,-0.147131333
7.12,-0.0002841
7.125,-0.114615157
7.13,0.478317189
7.135,-0.492341017
7.14,-0.01494207
7.145,-0.360474013
7.15,0.088407911
7.155,-0.210372269
7.16,-0.312948324
7.165,-0.099435527
7.17,0.382466812
7.175,-0.299357661
7.18,0.177496846
7.185,-0.318273487
7.19,0.290457466
7.195,-0.138440293
7.2,-0.322371416
7.205,-0.060214133
7.21,0.154099614
7.215,-0.026930934
7.22,0.117279799
7.225,-0.050082632
7.23,0.446980739
7.235,0.121118801
7.24,-0.021959513
7.245,-0.00736239
